DATE,Bloomington,Champaign-Urbana,St. Louis,Chicago-Naperville-Elgin,Danville,Davenport-Moline-Rock Island,Decatur,Kankakee,Peoria,Rockford,Springfield
1/1/1990,4.1,4,5.9,6.6,8.7,5.6,6.5,7.3,5.3,7.7,4.3
2/1/1990,4.3,3.9,6.1,6.5,9.4,5.9,7.4,7.8,5.7,5.9,4.6
3/1/1990,3.8,3.2,6,6.3,9.5,5.3,6.4,6.9,5.1,5.4,3.8
4/1/1990,3.4,2.8,5.5,6.3,7.6,4.8,5.9,6.3,4.7,4.9,3.4
5/1/1990,3,2.8,5.1,6.1,7.5,4.3,5.6,5.8,4.2,4.7,3
6/1/1990,3.2,2.9,5.3,6.2,8.2,4.3,6.1,5.8,4.4,4.6,3.1
7/1/1990,3,3,5.6,6.3,8.2,4.1,6,5.9,4.2,7.2,3.1
8/1/1990,3.6,3,6.5,6.4,8.7,4.9,6.5,6.5,4.9,5.3,3.2
9/1/1990,3.4,2.7,6.1,6.3,8.4,4.2,6.3,5.7,4.5,4.7,3.2
10/1/1990,3.3,2.7,5.9,6,8.2,4.3,6.6,6,4.7,4.8,3.3
11/1/1990,2.9,2.7,6.5,5.9,9,4.5,6.2,5.9,4.5,5,3.1
12/1/1990,3.4,3.2,6.4,6.2,10,5.4,6.1,6.2,4.7,5.4,3.3
1/1/1991,4.1,4.3,7.3,7.2,9.3,5.9,7.1,7.3,5.7,6,4.4
2/1/1991,4.8,4.4,7.9,7.2,9.7,6.3,7.9,7.8,6,8.8,4.5
3/1/1991,4.7,4.1,7.5,7.3,9.5,6.5,7.3,7.6,6,9.2,4.1
4/1/1991,3.8,3.3,6.6,6.8,8.5,5.2,6.5,6.5,5.5,6,3.3
5/1/1991,3.9,3.4,6.8,7.1,8.3,5.1,7.1,6.5,5.6,6.2,3.4
6/1/1991,4.3,3.9,7.2,7.5,9.2,5.3,8.2,7,5.8,6.9,3.8
7/1/1991,3.9,4.1,6.6,7.3,8.4,5,11.5,7.3,5.4,6.7,3.8
8/1/1991,3.5,3.6,6.7,7.2,8.7,6.6,8,7.6,5.7,10.1,3.8
9/1/1991,3.4,3.3,6.4,7.2,8.1,5.6,8,7.5,5.6,6.9,3.9
10/1/1991,3.5,3.6,6.1,7.4,9,5.6,8.8,8,6,7.4,4.3
11/1/1991,4.1,3.7,6.1,8,8.7,5.8,8.5,7.6,6.2,6.9,4.4
12/1/1991,4.4,4.2,6.1,8.5,9.3,7,8.8,8.9,7.1,7.8,4.8
1/1/1992,5.1,5.3,7.5,9.3,11.2,7.9,9.9,10.2,8.2,9.2,6
2/1/1992,5.3,5.2,7.5,9.2,11.7,7.7,10.4,10.7,8.5,12.2,6.3
3/1/1992,5.1,4.9,6.9,8.8,10.6,7,9.6,9.8,8,8.7,5.8
4/1/1992,4.1,4.1,6.3,8.3,9.7,7.1,8.6,8.8,6.6,8.3,4.8
5/1/1992,4,4,6.5,8.5,9.7,5.9,8.6,8.2,6.5,8.2,4.5
6/1/1992,4.8,4.8,7.2,9,11.2,6.3,10,9.1,7,8.7,5.2
7/1/1992,4.5,4.4,6.2,8.3,10.3,5.7,9.2,8,6.5,8.2,4.7
8/1/1992,4,4.2,6.4,7.6,9.7,6.7,8.7,7.5,6.2,7.6,4.3
9/1/1992,3.3,3.5,5.8,7.2,8.6,6.5,7.6,7.1,5.7,6.9,4.2
10/1/1992,3.1,3.2,5.4,6.6,8.6,5.8,7.1,6.6,5.3,8.3,4
11/1/1992,3.7,3.6,5.5,7,9.1,5.7,7.1,6.8,5.6,6.2,4.2
12/1/1992,4,3.9,5.7,7.4,9.8,5.9,7.9,7.4,6,6.8,4.6
1/1/1993,5.2,5.1,6.8,8.5,11.9,8.1,9.5,9.2,7.5,7.8,5.9
2/1/1993,5.4,5.4,7.1,8.5,12.4,7.1,10.1,9.6,7.8,9.1,6.1
3/1/1993,5,4.9,6.6,8.2,11,6.4,9,8.5,6.9,8.3,5.5
4/1/1993,4.3,4.5,6.1,8,10.2,5.8,8.5,7.6,6.2,7.2,4.6
5/1/1993,4,4.5,6.1,8.2,9.2,5.4,8.1,7.1,5.6,7.7,4.1
6/1/1993,4.2,4.9,6.4,8.6,10.2,5.7,8.8,7.5,5.9,9.6,4.6
7/1/1993,3.6,5.1,6,7.9,9.7,5.4,8,6.9,5.3,8.9,4.5
8/1/1993,3.3,4.8,6,7.3,8.8,4.9,8.3,6.5,5.3,8.5,4.1
9/1/1993,3,4.3,5.5,7.2,8.4,4.8,8.6,6.2,6.1,8.2,4
10/1/1993,2.9,4.3,5.3,6.9,8.7,4.9,8.7,6.7,5.1,8.6,4.2
11/1/1993,2.6,3.9,4.9,6.4,7.9,4.7,7.7,6.1,4.5,6.7,3.8
12/1/1993,3.1,3.9,4.8,6.4,8.3,5,7.6,6.4,4.8,5.7,3.9
1/1/1994,4.1,4.9,5.9,7.8,9.8,6,8.9,7.7,6,6.9,5
2/1/1994,3.9,4.7,5.8,7.4,10,5.8,8.4,8,5.9,8.1,5
3/1/1994,3.6,4.3,5.5,7.1,9.1,5.4,7.8,7.4,5.3,6.5,4.5
4/1/1994,3.2,3.6,5,6.4,7.9,4.5,6.7,6.3,4.3,5.2,3.6
5/1/1994,2.8,3.2,4.6,5.8,7.6,4,6.7,5.6,4,5,3.4
6/1/1994,2.9,3.7,5,6.1,8.3,4.3,7.5,6.1,4.5,5.3,3.8
7/1/1994,2.8,3.7,4.7,6,8.4,4.1,7.6,6.1,4.3,5.2,4
8/1/1994,2.8,3.5,4.9,5.7,7.7,4.1,7.5,5.7,4.2,4.7,3.8
9/1/1994,2.4,3.2,4.5,5.2,6.6,4.1,6.7,5.5,3.8,4.3,3.8
10/1/1994,2.3,2.9,4.3,5.2,6.4,4.1,6.9,6.3,3.7,4.2,3.8
11/1/1994,2,2.7,4.3,4.8,5.7,3.9,6.2,5.7,3.2,3.6,3.4
12/1/1994,2.1,2.5,4,4.8,5.7,4.1,5.7,5.3,3.2,3.6,3.4
1/1/1995,3.2,3.4,5,5.9,7.5,5.1,6.6,6.6,4.3,4.4,4.5
2/1/1995,3.1,3.3,5.1,5.6,7.2,4.8,6.5,6.5,4.3,4.2,4.4
3/1/1995,2.7,3,4.8,5.7,6.5,4.4,6.2,6.2,3.8,4,3.9
4/1/1995,2.5,2.7,4.7,6,6.7,4.1,6.2,5.9,3.6,3.7,3.6
5/1/1995,2.8,2.7,4.6,5.5,6.2,3.8,6.5,5.5,3.4,3.4,3.5
6/1/1995,2.8,2.9,5,5.5,6.8,4,7.2,5.6,3.9,3.6,3.8
7/1/1995,2.7,2.9,4.8,5.5,7.5,3.8,7.3,5.6,3.9,3.7,4
8/1/1995,2.7,3,4.8,5.3,6.9,4,7.4,5.5,4,3.7,4
9/1/1995,2.7,2.7,4.5,5,6.6,3.9,6.8,5.2,3.7,3.5,3.9
10/1/1995,2.7,2.8,4,4.7,7.3,3.8,7.2,5.5,3.9,3.5,4
11/1/1995,2.9,2.9,3.8,4.7,7.9,4.2,6.9,5.7,4.1,3.4,4
12/1/1995,3.2,3,4,5,8.1,4.6,6.9,5.9,4.6,4.1,4.1
1/1/1996,4.1,3.6,5,6.1,8.9,5.1,7.7,6.5,6.7,6.8,4.8
2/1/1996,4,3.7,4.9,5.7,8.7,5,7.9,6.4,7,6.6,4.6
3/1/1996,3.6,3.4,4.9,5.5,7.7,4.7,7.1,5.9,6.5,4.5,4.1
4/1/1996,3.1,2.8,4.6,5.5,6.8,4,6.5,5,5.7,3.8,3.8
5/1/1996,3.1,3,4.7,5.5,7.1,3.9,6.7,5,5.7,3.8,3.8
6/1/1996,3.1,3,4.8,5.6,7.2,3.9,7.4,5.1,5.8,4,4
7/1/1996,3,3.1,4.9,5.7,8.4,3.9,7.8,5.2,5.8,4.2,4.2
8/1/1996,2.7,2.8,4.5,5.1,6.5,3.6,7.6,4.7,5.2,3.6,3.7
9/1/1996,2.5,2.8,4.2,4.9,6,3.5,7.4,4.4,4.8,3.5,3.7
10/1/1996,2.3,2.7,4,4.6,5.9,3.4,7.4,4.6,4.7,3.6,3.7
11/1/1996,2.3,2.9,4.3,4.6,6.6,3.6,7.5,4.8,4.6,3.7,3.8
12/1/1996,2.6,2.9,4.2,4.8,6.8,4,7.1,5.3,4.8,4.2,3.8
1/1/1997,3.4,3.6,4.8,5.8,7.7,4.7,7.3,6.2,5.4,6.4,4.6
2/1/1997,3.3,3.5,4.6,5.5,7.8,4.6,7.7,6.4,5.4,4.6,4.7
3/1/1997,2.9,3.1,4.3,5.4,7.1,4.1,7,6,4.7,4.3,4.2
4/1/1997,2.2,2.4,3.6,4.8,5.6,3.2,5.7,4.6,3.6,3.3,3.2
5/1/1997,2.2,2.4,3.8,4.5,5.6,3,5.6,4.3,3.2,3.3,3.1
6/1/1997,2.4,2.7,4.1,5,6.4,3.2,6.4,4.6,3.6,5.4,3.6
7/1/1997,2.2,2.8,4.4,4.8,6.1,2.9,5.9,4.2,3.2,5.1,3.3
8/1/1997,2.2,2.6,4.1,4.7,6.1,3.1,6,4.2,3.6,3.6,3.6
9/1/1997,2.1,2.5,4.2,4.6,5.9,2.9,5.6,4.4,3.4,3.4,3.5
10/1/1997,2.1,2.3,3.8,4.5,5.4,2.7,5.3,4.2,3.3,3.3,3.3
11/1/1997,2.1,2.3,3.7,4.4,5.7,2.7,5.3,4.2,3.3,3.2,3.4
12/1/1997,2.5,2.5,3.9,4.7,5.8,3.1,5.3,4.8,3.5,3.6,3.6
1/1/1998,3.2,3.2,4.6,5.4,7,4,5.9,5.9,4.4,4.6,4.4
2/1/1998,3,3.1,4.7,5,7.3,4,5.8,6.1,4.1,4.6,4.2
3/1/1998,2.8,3.2,4.7,5,6.4,3.7,5.3,5.8,3.8,4.2,4
4/1/1998,2.1,2.1,4.1,4,4.9,2.8,4.1,4.4,2.5,3.1,2.7
5/1/1998,2,2.2,4.1,4,5.2,2.5,4.2,4.3,2.5,3.1,2.8
6/1/1998,2.3,2.7,4.6,4.8,6.2,3,5.3,5.1,3,3.6,3.4
7/1/1998,1.8,2.5,4.7,4.2,5.2,2.4,4.3,4.4,2.5,4.6,2.8
8/1/1998,2,2.5,4.4,4.5,5.8,3,5,5.1,3,3.5,3.2
9/1/1998,1.9,2.3,3.8,4.5,5.5,2.7,4.7,5.9,3,3.6,3.2
10/1/1998,1.8,2.3,3.6,4.3,5.6,2.8,4.5,5.7,3.2,3.8,3.4
11/1/1998,1.8,2.2,3.4,4.2,5.3,3,4.2,5,3,3.8,3.2
12/1/1998,1.8,2.3,3.3,4.1,5,3.3,3.9,4.9,2.9,4.3,3.1
1/1/1999,2.3,2.7,3.6,4.7,5.5,5.2,4.1,5.8,3.8,4.3,3.6
2/1/1999,2.4,2.9,3.8,4.6,5.8,5.1,4.3,6.1,4,4.7,3.7
3/1/1999,2.1,2.4,3.5,4.2,5,4.2,3.7,5.2,3.4,4,3.2
4/1/1999,1.7,2,3.6,4.4,4.5,3.6,3.6,4.5,3,3.6,2.8
5/1/1999,1.9,2,3.5,4.3,4.5,4.6,3.8,4.2,3,3.5,2.8
6/1/1999,2.3,2.7,4.2,5,5.5,3.9,4.8,5.1,3.7,4.1,3.4
7/1/1999,2.2,2.7,4,4.9,5.5,4.5,4.5,4.6,4.6,5.4,3.2
8/1/1999,2.4,2.5,3.8,4.5,6,4.6,5.2,4.8,3.7,4,3.3
9/1/1999,2.3,2.3,3.4,4.2,5.4,4.1,4.6,4.5,3.5,3.9,3.3
10/1/1999,2.4,2.1,2.8,4,5.4,3.5,4.4,4.5,3.4,3.7,3.3
11/1/1999,2.4,2.1,3,4,5.3,3.4,4.3,4.4,4,3.9,3.2
12/1/1999,2.6,2.2,3.1,4,5.3,3.8,4.4,4.6,3.7,4.2,3.3
1/1/2000,3.7,3.6,3.5,4.6,5.9,5.3,5.2,5.2,4.6,4.8,3.9
2/1/2000,4,3.8,3.9,4.7,6.1,5.1,5.4,5.4,4.8,5,4.2
3/1/2000,3.6,3.5,3.9,4.6,5.6,4.2,5.1,4.8,4.2,4.6,3.7
4/1/2000,2.7,2.7,3.1,4.1,4.8,3.3,3.9,3.6,3.2,3.5,2.8
5/1/2000,3,3,3.4,4.2,5.1,3.4,4.2,3.8,3.4,3.7,3
6/1/2000,3.4,3.5,3.6,4.6,5.4,3.7,4.8,4.1,3.7,4,3.4
7/1/2000,3.4,3.5,3.7,4.6,5.7,3.3,4.9,4.1,3.9,4.1,3.5
8/1/2000,3.5,3.5,4,4.4,5.8,3.6,5.1,4.3,4,5.5,3.4
9/1/2000,3,3,3.8,3.9,5,3.4,4.4,3.7,3.6,3.8,3.1
10/1/2000,2.8,2.8,3.6,3.7,5.2,3.8,4.3,3.6,3.6,3.8,3
11/1/2000,3.2,3.1,3.6,4.1,5.3,3.6,5.3,4,4.2,4.2,3.4
12/1/2000,3.2,3.2,4,4.3,5.6,3.8,5.5,4.4,4.2,4.4,3.5
1/1/2001,3.9,4,4.9,5.3,7.2,4.9,6.4,5.6,5.1,5.3,4.4
2/1/2001,4,3.9,4.9,5.3,7.1,5.1,6.3,5.9,5.2,5.8,4.3
3/1/2001,3.7,3.8,4.6,5.5,6.7,5.1,6.3,5.5,5.1,5.7,4.1
4/1/2001,3.2,3.3,4.1,5.3,5.7,3.9,5.4,4.6,4.2,4.9,3.4
5/1/2001,3,3.2,3.8,4.9,5.3,3.8,5,4.2,4.2,4.6,3.2
6/1/2001,3.4,3.7,4.6,5.6,6,3.9,5.7,4.7,4.3,5.2,3.7
7/1/2001,3.1,3.6,4.4,5.4,6.2,3.6,5.5,4.5,4.1,5.4,3.5
8/1/2001,3.4,3.8,4.8,5.6,6.8,4,6.1,5.2,4.6,6.3,3.9
9/1/2001,2.9,3.3,4.4,5.2,5.8,4,5.2,4.5,4.1,5.8,3.5
10/1/2001,3,3.3,4.8,5.4,6.5,4.2,6,4.8,4.5,6.2,3.7
11/1/2001,3.1,3.5,4.8,5.8,6.8,4.5,6.6,5.3,4.7,6.6,3.9
12/1/2001,3.4,3.8,4.9,6.2,7,5.7,7.1,5.7,5.1,7,4.2
1/1/2002,4.2,4.6,5.7,7.3,8.1,6.4,8.6,7.3,6,7.8,4.9
2/1/2002,4.2,4.4,5.6,7.1,8,5.8,8.1,7.1,6.1,7.8,4.7
3/1/2002,4.1,4.1,5.7,7.1,7.3,5.7,8.2,6.5,5.9,7.4,4.5
4/1/2002,3.6,3.8,5.3,7.1,6.7,5,7,5.9,4.9,6.8,4.1
5/1/2002,3.6,3.9,5.2,6.7,6.6,4.7,6.9,5.6,4.7,6.4,4.1
6/1/2002,4.3,4.7,5.9,7.4,7.8,5,8,6.6,5.4,7,4.8
7/1/2002,4.2,4.6,6,7.3,7.7,4.8,8,6.7,5.4,7.1,4.8
8/1/2002,4,4.4,5.5,6.8,7.6,4.8,8.1,6.6,5.3,7,4.6
9/1/2002,3.4,3.7,5,6.2,6.4,4.3,7,5.9,4.7,6.3,4.1
10/1/2002,3.5,3.8,4.8,6.3,6.7,5,7,5.9,5.3,6.7,4.4
11/1/2002,3.6,3.8,5.1,6.5,7.1,4.5,7.2,6.4,5.4,7,4.6
12/1/2002,3.8,3.9,5.2,6.5,7,5.1,7.3,6.8,5.6,7.4,4.6
1/1/2003,4.5,4.8,5.9,7.3,8.4,6.5,8.3,8,6.6,8.4,5.6
2/1/2003,4.6,4.7,5.8,7.1,8.7,6.1,8.5,8.2,6.6,8.8,5.7
3/1/2003,4.5,4.4,5.7,7,8,5.8,7.9,7.8,6.3,8.3,5.3
4/1/2003,3.7,3.8,5.3,6.6,6.8,5,6.7,6.4,5.4,7.3,4.5
5/1/2003,3.9,4,5.8,6.6,7.2,5,6.9,6.4,5.6,7.5,4.8
6/1/2003,4.8,5.1,6.6,7.7,8.4,5.5,8.3,7.3,6.5,8.3,5.8
7/1/2003,4.7,5.2,6.2,7.2,8.4,5.3,7.8,7.2,6.1,8.1,5.6
8/1/2003,4.5,5,6.3,7,8.5,5.5,8.3,7.5,6.3,8.4,5.8
9/1/2003,4.2,4.8,6,6.7,8.1,4.9,7.8,7.1,5.9,7.9,5.5
10/1/2003,3.9,4.3,5.5,6.3,7.8,5.5,7.3,7.1,5.7,7.8,5.2
11/1/2003,4,4.3,5.5,6.3,8.1,5.6,7.1,7.2,5.7,7.8,5.4
12/1/2003,4.1,4.1,5.4,6.1,7.9,5.4,6.9,7.5,5.7,7.8,5.2
1/1/2004,4.8,4.9,6.1,7,9.2,6.5,7.8,9,6.3,8.7,5.9
2/1/2004,4.6,4.6,6.1,6.7,9.1,5.8,7.4,8.5,6.1,8.4,5.8
3/1/2004,4.7,4.8,6.1,6.8,8.7,5.7,7.5,8.3,5.9,8.3,5.6
4/1/2004,3.9,3.9,5.5,6.2,7.6,4.8,6.3,6.9,4.9,6.8,4.7
5/1/2004,4.2,4.1,5.7,6.1,7.6,4.8,6.4,6.6,5,6.8,4.7
6/1/2004,4.7,4.7,6.4,6.6,8.2,5.1,7.1,7.3,5.5,7.2,5.3
7/1/2004,4.6,4.9,6.6,6.4,7.8,4.7,6.9,6.9,5.3,7.5,5.1
8/1/2004,4.4,4.6,6.4,6.1,7.7,4.8,6.9,7,5.3,7.1,5
9/1/2004,4.1,4.2,6,5.8,6.8,4.5,6.1,6.4,4.8,6.4,4.7
10/1/2004,4.7,4.1,5.8,5.8,7.2,4.7,6.2,6.7,5.1,6.6,4.9
11/1/2004,4.7,4.2,5.9,5.9,7.2,4.7,6.2,6.7,5.2,6.5,4.9
12/1/2004,4.6,4.1,5.8,5.9,7.2,4.8,6.2,7,5.1,6.7,4.9
1/1/2005,5,4.6,6.3,6.5,7.5,5.5,6.6,7.8,5.4,7.3,5.2
2/1/2005,5.2,4.7,6.4,6.8,7.7,5.4,6.7,8,5.7,7.5,5.4
3/1/2005,4.5,4.1,6,6.2,6.4,4.8,5.9,7,4.9,6.6,4.6
4/1/2005,4,3.7,5.4,6.1,5.8,4.1,5.5,5.9,4.3,5.8,4.1
5/1/2005,3.9,3.7,5.4,6,5.8,4.1,5.6,5.8,4.3,5.7,4.1
