,Year,State,"Average Weather (F, Predicted)"
0,1996,California,58.02615170466047
1,1997,California,58.23692036736085
2,1998,California,58.12247928636607
3,1999,California,58.10072285391506
4,2000,California,58.16575296934222
5,2001,California,58.43350974955063
6,2002,California,58.16156212777411
7,2003,California,58.376362797356386
8,2004,California,58.281721371358735
9,2005,California,58.12383827473481
10,2006,California,58.3011633924556
11,2007,California,58.57295217954597
12,2008,California,58.557361314800175
13,2009,California,58.440911436224305
14,2010,California,58.41713179447176
15,2011,California,58.26328070472974
16,2012,California,58.75395069699014
17,2013,California,58.47999427763213
18,2014,California,58.69277173791376
19,2015,California,58.58035386621979
20,2016,California,58.44427922217392
21,2017,California,58.61959554231303
22,2018,California,58.88936112010374
23,2019,California,58.619436707627536
24,2020,California,58.761352383663514
25,2021,California,58.735563944329655
26,2022,California,58.579689645287765
27,2023,California,58.75903797230876
28,2024,California,58.800435225071446
29,2025,California,59.011203887771714
30,2026,California,58.89676280677718
31,2027,California,58.875006374325714
32,2028,California,58.940036489753496
33,2029,California,59.20779326996124
34,2030,California,58.93584564818524
35,2031,California,59.15064631776738
36,2032,California,59.0560048917698
37,2033,California,58.89812179514541
38,2034,California,59.07544691286597
39,2035,California,59.347235699957245
40,2036,California,59.331644835211534
41,2037,California,59.215194956634654
42,2038,California,59.19141531488482
43,2039,California,59.0375642251399
44,2040,California,59.528234217400104
45,2041,California,59.254277798043184
46,2042,California,59.46705525832532
47,2043,California,59.35463738662983
48,2044,California,59.218562742585156
49,2045,California,59.393879062726185
50,2046,California,59.663644640514185
51,2047,California,59.39372022803909
52,2048,California,59.53563590407365
53,2049,California,59.50984746474233
54,2050,California,59.35397316569818
55,2051,California,59.533321492722884
56,2052,California,59.574718745483075
57,2053,California,59.7854874081837
58,2054,California,59.67104632718846
59,2055,California,59.649289894736064
60,2056,California,59.71432001016785
61,2057,California,59.98207679037275
62,2058,California,59.710129168595905
63,2059,California,59.92492983817886
64,2060,California,59.8302884121802
65,2061,California,59.672405315556816
66,2062,California,59.84973043328017
67,2063,California,60.1215192203677
68,2064,California,60.10592835562279
69,2065,California,59.98947847704602
70,2066,California,59.96569883529523
71,2067,California,59.81184774555143
72,2068,California,60.3025177378115
73,2069,California,60.02856131845388
74,2070,California,60.24133877873634
75,2071,California,60.128920907041206
76,2072,California,59.99284626299509
77,2073,California,60.16816258313817
78,2074,California,60.43792816092449
79,2075,California,60.16800374845035
80,2076,California,60.3099194244849
81,2077,California,60.28413098515257
82,2078,California,60.128256686107996
83,2079,California,60.30760501313384
84,2080,California,60.34900226589444
85,2081,California,60.55977092859442
86,2082,California,60.445329847597996
87,2083,California,60.42357341514741
88,2084,California,60.48860353057866
89,2085,California,60.756360310783975
90,2086,California,60.48441268900754
91,2087,California,60.69921335859031
92,2088,California,60.60457193259131
93,2089,California,60.44668883596819
94,2090,California,60.62401395369125
95,2091,California,60.895802740779075
96,2092,California,60.88021187603467
97,2093,California,60.76376199745732
98,2094,California,60.73998235570549
99,2095,California,60.58613126596242
100,2096,California,61.076801258222744
101,2097,California,60.802844838865425
102,2098,California,61.01562229914812
103,2099,California,60.90320442745247
104,2100,California,60.88348267079545
105,2101,California,60.73370943999536
106,2102,California,60.91918434808178
107,2103,California,61.1991510043208
108,2104,California,61.159122614236644
109,2105,California,61.050782601486596
110,2106,California,61.03515275009451
111,2107,California,60.88947952950637
112,2108,California,61.355711996425505
113,2109,California,61.089865442894755
114,2110,California,61.310792693536705
115,2111,California,61.206552690994656
116,2112,California,61.04604052160994
117,2113,California,61.22946670757496
118,2114,California,61.50738207572793
119,2115,California,61.24563553240314
120,2116,California,61.36311368309927
121,2117,California,61.34543510959226
122,2118,California,61.19771060091366
123,2119,California,61.38523679708087
124,1996,Florida,71.13727614492973
125,1997,Florida,71.11118236843741
126,1998,Florida,70.85553096240609
127,1999,Florida,70.72961044112145
128,2000,Florida,71.4555360736807
129,2001,Florida,71.12644413335508
130,2002,Florida,71.17784499085444
131,2003,Florida,71.14932349312485
132,2004,Florida,71.1157842041396
133,2005,Florida,71.34743495782273
134,2006,Florida,71.49610491960556
135,2007,Florida,71.16458525804279
136,2008,Florida,71.53549725614242
137,2009,Florida,71.28110728168207
138,2010,Florida,71.15635305006454
139,2011,Florida,71.38557608251057
140,2012,Florida,71.55075902106037
141,2013,Florida,71.60342131013033
142,2014,Florida,71.57606610206713
143,2015,Florida,71.31924840636887
144,2016,Florida,71.7717498455279
145,2017,Florida,71.9216812388818
146,2018,Florida,71.59132786698504
147,2019,Florida,71.64156243481708
148,2020,Florida,71.70542216938703
149,2021,Florida,71.5819293693402
150,2022,Florida,71.81231869145334
151,2023,Florida,71.95982236356896
152,2024,Florida,72.02773619783547
153,2025,Florida,72.0016424213432
154,2026,Florida,71.74599101531187
155,2027,Florida,71.62007049402709
156,2028,Florida,72.3459961265863
157,2029,Florida,72.01690418626067
158,2030,Florida,72.06830504375935
159,2031,Florida,72.03978354603028
160,2032,Florida,72.00624425704537
161,2033,Florida,72.23789501072781
162,2034,Florida,72.38656497251124
163,2035,Florida,72.05504531094792
164,2036,Florida,72.42595730904748
165,2037,Florida,72.17156733458769
166,2038,Florida,72.0468131029707
167,2039,Florida,72.27603613541797
168,2040,Florida,72.44121907396641
169,2041,Florida,72.49388136303841
170,2042,Florida,72.46652615497332
171,2043,Florida,72.20970845927592
172,2044,Florida,72.6622098984361
173,2045,Florida,72.81214129178781
174,2046,Florida,72.48178791989103
175,2047,Florida,72.53202248772463
176,2048,Florida,72.59588222229411
177,2049,Florida,72.47238942224665
178,2050,Florida,72.70277874436175
179,2051,Florida,72.85028241647403
180,2052,Florida,72.9181962507427
181,2053,Florida,72.89210247424842
182,2054,Florida,72.63645106821734
183,2055,Florida,72.51053054693487
184,2056,Florida,73.23645617949228
185,2057,Florida,72.9073642391675
186,2058,Florida,72.95876509666657
187,2059,Florida,72.93024359893614
188,2060,Florida,72.89670430995291
189,2061,Florida,73.12835506363724
190,2062,Florida,73.2770250254169
191,2063,Florida,72.9455053638542
192,2064,Florida,73.31641736195427
193,2065,Florida,73.0620273874932
194,2066,Florida,72.93727315587655
195,2067,Florida,73.16649618832372
196,2068,Florida,73.3316791268723
197,2069,Florida,73.3843414159436
198,2070,Florida,73.3569862078788
199,2071,Florida,73.10016851218187
200,2072,Florida,73.55266995134203
201,2073,Florida,73.70260134469315
202,2074,Florida,73.37224797279633
203,2075,Florida,73.4224825406296
204,2076,Florida,73.48634227519938
205,2077,Florida,73.36284947515188
206,2078,Florida,73.59323879726695
207,2079,Florida,73.74074246937995
208,2080,Florida,73.80865630364838
209,2081,Florida,73.78256252715455
210,2082,Florida,73.52691112112397
211,2083,Florida,73.40099059984057
212,2084,Florida,74.12691623239748
213,2085,Florida,73.79782429207276
214,2086,Florida,73.84922514957209
215,2087,Florida,73.82070365184171
216,2088,Florida,73.78716436285734
217,2089,Florida,74.01881511654202
218,2090,Florida,74.16748507832322
219,2091,Florida,73.8359654167603
220,2092,Florida,74.20687741485975
221,2093,Florida,73.9524874403989
222,2094,Florida,73.8277332087817
223,2095,Florida,74.05695624122639
224,2096,Florida,74.22213917977783
225,2097,Florida,74.27480146884749
226,2098,Florida,74.24744626078379
227,2099,Florida,73.99062856508655
228,2100,Florida,73.86363881945168
229,2101,Florida,74.09082224900499
230,2102,Florida,74.23541642013444
231,2103,Florida,73.90021932598384
232,2104,Florida,74.28335187145464
233,2105,Florida,74.02449457286595
234,2106,Florida,73.89566455059041
235,2107,Florida,74.1212101504515
236,2108,Florida,74.29861363636995
237,2109,Florida,74.34680860131056
238,2110,Florida,74.31537760259438
239,2111,Florida,74.0548824743116
240,2112,Florida,74.51960446083386
241,2113,Florida,74.66506853006355
242,2114,Florida,74.33063936751311
243,2115,Florida,74.37719650275609
244,2116,Florida,74.45327678469995
245,2117,Florida,74.32531666052178
246,2118,Florida,74.55163019197738
247,2119,Florida,74.6954564315103
248,1996,Illinois,52.07802169018447
249,1997,Illinois,52.468857090388525
250,1998,Illinois,52.427976310147436
251,1999,Illinois,51.60135232758564
252,2000,Illinois,52.38778803419457
253,2001,Illinois,52.06306804650124
254,2002,Illinois,52.1285062128672
255,2003,Illinois,52.5174654419969
256,2004,Illinois,52.095763938347865
257,2005,Illinois,52.929663082504426
258,2006,Illinois,52.4382725568786
259,2007,Illinois,52.111676398110816
260,2008,Illinois,53.011877052757576
261,2009,Illinois,52.97199352380851
262,2010,Illinois,52.146248461031405
263,2011,Illinois,52.97827143411354
264,2012,Illinois,52.60608800887154
265,2013,Illinois,52.672523426528436
266,2014,Illinois,53.06236157544239
267,2015,Illinois,53.02060187541627
268,2016,Illinois,53.472683044874756
269,2017,Illinois,52.982289770540596
270,2018,Illinois,52.65657253155467
271,2019,Illinois,52.72113177813625
272,2020,Illinois,53.51501348617784
273,2021,Illinois,52.69026567469121
274,2022,Illinois,53.523167567559206
275,2023,Illinois,53.03089812214819
276,2024,Illinois,53.21554338889842
277,2025,Illinois,53.606378789101456
278,2026,Illinois,53.56549800886211
279,2027,Illinois,52.738874026299584
280,2028,Illinois,53.525309732908354
281,2029,Illinois,53.20058974521703
282,2030,Illinois,53.266027911581176
283,2031,Illinois,53.65498714070999
284,2032,Illinois,53.233285637062366
285,2033,Illinois,54.06718478121792
286,2034,Illinois,53.57579425559373
287,2035,Illinois,53.249198096823214
288,2036,Illinois,54.149398751472795
289,2037,Illinois,54.10951522252029
290,2038,Illinois,53.28377015974804
291,2039,Illinois,54.115793132830156
292,2040,Illinois,53.74360970759017
293,2041,Illinois,53.810045125245345
294,2042,Illinois,54.19988327415897
295,2043,Illinois,54.15812357412789
296,2044,Illinois,54.61020474359227
297,2045,Illinois,54.119811469252355
298,2046,Illinois,53.79409423027104
299,2047,Illinois,53.85865347684845
300,2048,Illinois,54.652535184890006
301,2049,Illinois,53.82778737340806
302,2050,Illinois,54.66068926627715
303,2051,Illinois,54.16841982085744
304,2052,Illinois,54.35306508761029
305,2053,Illinois,54.74390048782135
306,2054,Illinois,54.70301970757661
307,2055,Illinois,53.87639572501625
308,2056,Illinois,54.66283143161881
309,2057,Illinois,54.3381114439315
310,2058,Illinois,54.403549610298974
311,2059,Illinois,54.79250883942757
312,2060,Illinois,54.37080733577877
313,2061,Illinois,55.20470647993698
314,2062,Illinois,54.7133159543037
315,2063,Illinois,54.38671979554046
316,2064,Illinois,55.28692045019026
317,2065,Illinois,55.247036921234006
318,2066,Illinois,54.42129185846199
319,2067,Illinois,55.253314831544344
320,2068,Illinois,54.88113140630351
321,2069,Illinois,54.94756682396059
322,2070,Illinois,55.3374049728749
323,2071,Illinois,55.29564527284397
324,2072,Illinois,55.74772644230704
325,2073,Illinois,55.25733316796503
326,2074,Illinois,54.93161592898703
327,2075,Illinois,54.99617517556156
328,2076,Illinois,55.79005688360426
329,2077,Illinois,54.96530907212114
330,2078,Illinois,55.79821096499095
331,2079,Illinois,55.30594151957218
332,2080,Illinois,55.49058678632428
333,2081,Illinois,55.881422186534145
334,2082,Illinois,55.84054140628675
335,2083,Illinois,55.01391742373032
336,2084,Illinois,55.800353130332596
337,2085,Illinois,55.47563314264457
338,2086,Illinois,55.541071309008714
339,2087,Illinois,55.930030538142034
340,2088,Illinois,55.508329034491226
341,2089,Illinois,56.342228178649975
342,2090,Illinois,55.850837653019
343,2091,Illinois,55.52424149425458
344,2092,Illinois,56.42444214890587
345,2093,Illinois,56.38455861994972
346,2094,Illinois,55.55881355717496
347,2095,Illinois,56.390836530254596
348,2096,Illinois,56.01865310501689
349,2097,Illinois,56.085088522670354
350,2098,Illinois,56.47492667158986
351,2099,Illinois,56.43316697155756
352,2100,Illinois,55.605783470682475
353,2101,Illinois,56.43640770598827
354,2102,Illinois,55.94222132575003
355,2103,Illinois,55.61331160620391
356,2104,Illinois,56.521896585096606
357,2105,Illinois,56.47873814729413
358,2106,Illinois,55.65019722990166
359,2107,Illinois,56.47990664220737
360,2108,Illinois,56.11610754120351
361,2109,Illinois,56.17926805000921
362,2110,Illinois,56.56631034431357
363,2111,Illinois,56.52223708351354
364,2112,Illinois,56.98270257720024
365,2113,Illinois,56.48903439402349
366,2114,Illinois,56.16052130042564
367,2115,Illinois,56.222766986225636
368,2116,Illinois,57.02503301851266
369,2117,Illinois,56.19701029817367
370,2118,Illinois,57.02711633642789
371,2119,Illinois,56.53253333024703
